Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","C_0603_1608Metric",12.180000,18.530000,180.000000,top
"C2","4u7","C_0603_1608Metric",12.145000,12.830000,180.000000,top
"C3","4u7","C_0603_1608Metric",27.490000,17.615000,-90.000000,top
"C4","100n","C_0402_1005Metric",27.340000,23.680000,180.000000,top
"C5","100n","C_0402_1005Metric",35.260000,17.220000,-90.000000,top
"C6","100n","C_0402_1005Metric",28.820000,20.160000,90.000000,top
"C7","100n","C_0402_1005Metric",30.760000,28.290000,180.000000,top
"C8","100n","C_0402_1005Metric",39.040000,22.940000,0.000000,top
"C9","100n","C_0402_1005Metric",27.520000,20.130000,90.000000,top
"C10","4u7","C_0603_1608Metric",29.935000,29.630000,180.000000,top
"C11","100n","C_0402_1005Metric",30.760000,27.270000,180.000000,top
"C12","100n","C_0402_1005Metric",38.565000,24.807500,-90.000000,top
"C13","100n","C_0402_1005Metric",27.520000,12.410000,90.000000,top
"C14","4u7","C_0603_1608Metric",34.270000,27.680000,0.000000,top
"C15","0p8","C_0402_1005Metric",40.595000,23.220000,-90.000000,top
"C16","0p3","C_0402_1005Metric",43.595000,23.200000,-90.000000,top
"C17","10p","C_0402_1005Metric",31.380000,17.240000,0.000000,top
"C18","10p","C_0402_1005Metric",29.320000,17.230000,180.000000,top
"C19","100n","C_0402_1005Metric",45.010000,3.270000,-90.000000,top
"C20","100n","C_0402_1005Metric",20.320000,7.320000,90.000000,top
"C21","100n","C_0402_1005Metric",53.639669,27.775000,180.000000,top
"C22","100n","C_0402_1005Metric",52.769669,19.870000,90.000000,top
"C23","100n","C_0402_1005Metric",61.600000,20.690000,0.000000,top
"C24","100n","C_0402_1005Metric",52.739669,16.310000,90.000000,top
"C25","100n","C_0402_1005Metric",56.920000,21.980000,180.000000,top
"C26","100n","C_0402_1005Metric",52.039669,14.285000,0.000000,top
"D1","USBLC6-2SC6","SOT-23-6",12.020000,21.930000,0.000000,top
"D2","LED","LED_0402_1005Metric",39.580000,18.270000,90.000000,top
"FLT1","DLF162500LT-5028A1","DLF162500LT-5028A1",45.700000,23.672500,0.000000,top
"FM1","Fiducial","Fiducial_1mm_Mask2mm",6.480000,30.530000,0.000000,top
"FM2","Fiducial","Fiducial_1mm_Mask2mm",44.860000,29.520000,0.000000,top
"FM3","Fiducial","Fiducial_1mm_Mask2mm",63.060000,2.000000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",3.520000,21.930000,-90.000000,top
"J2","Conn_01x04_Pin","Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal",5.160000,13.105000,-90.000000,top
"J4","Conn_Coaxial","U.FL_Hirose_U.FL-R-SMT-1_Vertical",48.890000,23.690000,0.000000,top
"J5","DE9_Socket","DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm",66.869669,21.800000,90.000000,top
"J_I2C1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",20.280000,4.520000,90.000000,top
"J_UART1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",54.319669,30.155000,90.000000,top
"L1","10n","L_0402_1005Metric",32.270000,27.915000,90.000000,top
"L2","10u","L_0805_2012Metric",33.332500,29.930000,0.000000,top
"L3","2n7","L_0402_1005Metric",42.080000,23.700000,0.000000,top
"R1","5k1","R_0402_1005Metric",6.570000,27.940000,0.000000,top
"R2","5k1","R_0402_1005Metric",4.620000,15.980000,180.000000,top
"R3","220R","R_0402_1005Metric",36.290000,16.800000,90.000000,top
"R4","220R","R_0402_1005Metric",37.570000,16.820000,90.000000,top
"R5","220R","R_0402_1005Metric",40.950000,18.290000,90.000000,top
"R6","5k1","R_0402_1005Metric",44.680000,5.340000,180.000000,top
"R7","220R","R_0402_1005Metric",43.510000,3.230000,-90.000000,top
"R8","4k7","R_0402_1005Metric",23.520000,7.430000,90.000000,top
"R9","4k7","R_0402_1005Metric",26.020000,7.430000,90.000000,top
"R10","220R","R_0402_1005Metric",56.350000,25.840000,180.000000,top
"R11","220R","R_0402_1005Metric",58.880000,25.250000,0.000000,top
"SW1","SW_Push","SW_SPST_CK_RS282G05A3",37.940000,3.930000,180.000000,top
"U1","MIC5365-3.3YD5","TSOT-23-5",11.980000,15.622500,-90.000000,top
"U2","STM32WB55CEU6","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",33.520000,22.430000,90.000000,top
"U_RS232_1","MAX3232","SOIC-16_3.9x9.9mm_P1.27mm",56.999669,16.212500,0.000000,top
"X1","32kHz768","Crystal_SMD_2012-2Pin_2.0x1.2mm",30.180000,15.490000,180.000000,top
"X2","32MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",38.860000,28.210000,90.000000,top
